eval/rm_pair_accuracy,train/cuda_memory_allocated_mb,eval/rm_rejected_score_mean,train/cuda_max_memory_reserved_mb,dataset/train_gen,dataset/train_prefs,train/optimizer_step,train/microbatch_count,setup/estimated_total_optimizer_steps,setup/total_params,setup/device_type,setup/model_param_devices,eval/rm_margin_mean,setup/trainable_params,train/optimizer_steps_completed,setup/cuda_current_device_index,setup/torch_cuda_is_available,train/gradient_global_norm_after_clipping,eval/step,setup/cuda_device_name,setup/cuda_device_count,setup/cuda_max_memory_allocated_mb,setup/cuda_memory_allocated_mb,setup/cuda_compute_capability_minor,dataset/eval_examples,eval/rm_chosen_score_mean,dataset/train_examples,eval/rm_margin_std,setup/cuda_memory_reserved_mb,train/reward_model/margin_mean,setup/cuda_max_memory_reserved_mb,train/reward_model/rejected_score_mean,train/reward_model/pair_accuracy,setup/cuda_total_memory_mb,train/cuda_memory_reserved_mb,setup/model_param_device_count,train/lr,train/optimizer_steps_per_second,train/reward_model/loss,setup/trainable_fraction,train/elapsed_seconds,_timestamp,setup/model_first_param_device,setup/cuda_bf16_supported,setup/cuda_compute_capability_major,dataset/test_prefs,eval/count_preference_pairs,train/reward_model/chosen_score_mean,setup/cuda_multiprocessor_count,_step,dataset/test_gen,train/cuda_max_memory_allocated_mb,_runtime
0.5546875,,-4.21875,,4744.0,4744.0,,,445.0,1580646912.0,cuda,cuda:0,0.125,36932608.0,,0.0,True,,0.0,NVIDIA H100 80GB HBM3,1.0,3141.28271484375,3141.28271484375,0.0,256.0,-4.09375,4744.0,0.83984375,3174.0,,3174.0,,,81079.125,,1.0,,,,0.023365501630765215,,1775632128.0792763,cuda:0,True,9.0,256.0,256.0,,132.0,0,256.0,,13.125974277
,3597.09716796875,,7016.0,,,1.0,4.0,,,,,,,,,,5.545714855194092,,,,,,,,,,,,0.091796875,,-4.21875,0.625,,7016.0,,3.0000000000000004e-07,,0.66796875,,,1775632132.4028735,,,,,,-4.125,,1,,6596.365234375,16.090980564
,3549.15869140625,,7066.0,,,2.0,8.0,,,,,,,,,,3.9023008346557617,,,,,,,,,,,,0.068359375,,-4.21875,0.5,,7066.0,,6.000000000000001e-07,,0.7109375,,,1775632135.3679178,,,,,,-4.125,,2,,6716.478515625,19.022305223
,3548.27587890625,,7066.0,,,3.0,12.0,,,,,,,,,,5.745944499969482,,,,,,,,,,,,-0.1875,,-4.09375,0.25,,7066.0,,9e-07,,0.87109375,,,1775632138.299137,,,,,,-4.28125,,3,,6716.478515625,23.084429969
,3572.63232421875,,7978.0,,,4.0,16.0,,,,,,,,,,4.522190093994141,,,,,,,,,,,,0.443359375,,-4.03125,0.75,,7978.0,,1.2000000000000002e-06,,0.578125,,,1775632142.3614545,,,,,,-3.578125,,4,,7331.33056640625,25.814574111
,3544.62451171875,,7978.0,,,5.0,20.0,,,,,,,,,,6.5621161460876465,,,,,,,,,,,,0.12109375,,-4.125,0.625,,7978.0,,1.5e-06,,0.6796875,,,1775632145.0916038,,,,,,-4.03125,,5,,7331.33056640625,28.974967056
,3558.3125,,7982.0,,,6.0,24.0,,,,,,,,,,11.725601196289062,,,,,,,,,,,,-0.015625,,-4.09375,0.625,,7982.0,,1.8e-06,,0.828125,,,1775632148.251824,,,,,,-4.125,,6,,7331.33056640625,31.467807862
,3549.12451171875,,7982.0,,,7.0,28.0,,,,,,,,,,5.02902364730835,,,,,,,,,,,,0.578125,,-4.625,0.75,,7982.0,,2.1000000000000002e-06,,0.5078125,,,1775632150.7446668,,,,,,-4.0625,,7,,7331.33056640625,34.760739497
,3585.36767578125,,7982.0,,,8.0,32.0,,,,,,,,,,4.963352680206299,,,,,,,,,,,,0.453125,,-4.90625,0.5,,7982.0,,2.4000000000000003e-06,,0.5546875,,,1775632154.0376816,,,,,,-4.46875,,8,,7331.33056640625,37.906946462
,3539.91259765625,,7982.0,,,9.0,36.0,,,,,,,,,,5.485400676727295,,,,,,,,,,,,-0.123046875,,-4.125,0.375,,7982.0,,2.7e-06,,0.85546875,,,1775632157.1836517,,,,,,-4.25,,9,,7331.33056640625,40.873461074
,3540.662109375,,7982.0,,,10.0,40.0,,,,,,,,,,5.828944683074951,,,,,,,,,,,,-0.1015625,,-4.4375,0.5,,7982.0,,3e-06,,0.8203125,,,1775632160.150288,,,,,,-4.53125,,10,,7331.33056640625,44.051391272
,3564.3505859375,,7982.0,,,11.0,44.0,,,,,,,,,,6.666277885437012,,,,,,,,,,,,-0.1953125,,-3.9375,0.375,,7982.0,,3.3e-06,,0.82421875,,,1775632163.3283257,,,,,,-4.125,,11,,7331.33056640625,46.91184336
,3548.4384765625,,7982.0,,,12.0,48.0,,,,,,,,,,5.867323875427246,,,,,,,,,,,,0.35546875,,-4.4375,0.75,,7982.0,,3.6e-06,,0.5859375,,,1775632166.1884992,,,,,,-4.0625,,12,,7331.33056640625,50.24134931
,3549.5244140625,,7982.0,,,13.0,52.0,,,,,,,,,,5.027459144592285,,,,,,,,,,,,-0.1640625,,-4.15625,0.5,,7982.0,,3.9e-06,,0.83984375,,,1775632169.5183516,,,,,,-4.34375,,13,,7331.33056640625,54.036468822
,3562.10107421875,,7984.0,,,14.0,56.0,,,,,,,,,,5.470824241638184,,,,,,,,,,,,-0.068359375,,-4.5,0.5,,7984.0,,4.2000000000000004e-06,,0.76953125,,,1775632173.3134744,,,,,,-4.5625,,14,,7331.33056640625,56.717125249
,3551.54833984375,,7984.0,,,15.0,60.0,,,,,,,,,,6.925800323486328,,,,,,,,,,,,0.099609375,,-4.1875,0.5,,7984.0,,4.5e-06,,0.78515625,,,1775632175.994063,,,,,,-4.09375,,15,,7331.33056640625,59.751519178
,3566.17626953125,,7984.0,,,16.0,64.0,,,,,,,,,,4.902660846710205,,,,,,,,,,,,-0.001953125,,-3.828125,0.375,,7984.0,,4.800000000000001e-06,,0.8046875,,,1775632179.0285184,,,,,,-3.828125,,16,,7331.33056640625,63.062610197
,3548.47509765625,,7984.0,,,17.0,68.0,,,,,,,,,,5.102328300476074,,,,,,,,,,,,-0.154296875,,-4.34375,0.5,,7984.0,,5.1e-06,,0.8046875,,,1775632182.3395503,,,,,,-4.5,,17,,7331.33056640625,65.865273388
,3550.90966796875,,7984.0,,,18.0,72.0,,,,,,,,,,6.297284126281738,,,,,,,,,,,,0.154296875,,-4.46875,0.5,,7984.0,,5.4e-06,,0.703125,,,1775632185.1420808,,,,,,-4.3125,,18,,7331.33056640625,69.295908975
,3590.0732421875,,7984.0,,,19.0,76.0,,,,,,,,,,6.701119899749756,,,,,,,,,,,,0.443359375,,-4.6875,0.625,,7984.0,,5.7000000000000005e-06,,0.53515625,,,1775632188.57275,,,,,,-4.25,,19,,7331.33056640625,71.830076394
,3552.82763671875,,7984.0,,,20.0,80.0,,,,,,,,,,5.8698201179504395,,,,,,,,,,,,0.7734375,,-4.625,0.875,,7984.0,,6e-06,,0.421875,,,1775632191.1067915,,,,,,-3.84375,,20,,7331.33056640625,75.082949418
